answer,question,funFact
50 years,"What is the maximum number of years a standard, well-manufactured modern roof shingle is warrantied to last?",These architectural lifetime shingles are reinforced with thick fiberglass mats to withstand extreme weather and hail without cracking.
1967,In what year did the luxury ocean liner Queen Mary officially retire to become a floating hotel in California?,"The ship sailed across the Atlantic over 1,000 times before being permanently moored in Long Beach harbor."
40 keys,"How many total distinct keys are built onto a standard, classic legal cash register drawer?",Early mechanical registers used these keys to physically punch tabs up into glass windows so customers could see their total.
35 mph [56 km/h],"What is the maximum speed, in miles per hour, that a professional modern competitive ice skater can achieve on a straightaway?","Long-track speed skaters use long, straight blades attached to clap skates that leave the heel free, maximizing stride power."
1.0 thousand components,How many thousands of individual components make up a standard modern mechanical grandfather clock?,"The delicate gear chains, weights, and escapements must be engineered with micro-precision to keep time accurate to within seconds per week."
1916,"In what year did the classic building toy, Lincoln Logs, get invented by John Lloyd Wright?","The inventor was the son of legendary architect Frank Lloyd Wright, and he based the toy design on the earthquake-proof foundations of a hotel his father designed in Tokyo."
25,How many separate glass windows are built into the crown of the Statue of Liberty?,"The windows symbolize the 25 natural gemstones found on Earth, as well as the rays of heaven shining down upon the world."
260,What is the record for the most layers of clothes worn by a single human simultaneously?,"Set by Ted Hastings in Canada in 2019, he required assistance from a team to pull the final oversized shirts over his massive bulk."
500,How many distinct varieties of sharks are known to science today?,"They scale from the tiny dwarf lanternshark (smaller than a human hand) to the massive whale shark, which can grow up to 60 feet long."
1883,In what year did the first commercial modern vending machine dispense items in London?,"Invented by Percival Everitt, the cast-iron machines were placed at post offices and railway stations to automatically sell post cards and envelopes."
4 cords,"How many total cords of wood can be harvested from a single massive, mature 100-foot oak tree?","A standard cord of firewood is a massive stack measuring 4 feet high, 4 feet wide, and 8 feet long."
10 years,"What is the maximum recorded lifespan of a common garden earthworm, in years?","While most wild earthworms only survive a single year due to predators and drought, protected laboratory worms have reached a decade."
25 thousand feathers,How many thousands of feathers cover the body of a standard adult whistling swan?,"Over 80% of these feathers are located entirely on the swan's long, flexible neck to keep it insulated while diving for underwater plants."
1963,In what year did the iconic yellow smiley face icon get invented by graphic designer Harvey Ball?,"He was paid a grand total of 45 dollars for the design, which he created in 10 minutes to boost morale at an insurance company."
244,How many individual bones make up the entire skeleton of a standard domestic adult cat?,Humans only have 206 bones; a cat's extra bones are packed primarily into its highly flexible spine and long tail.
16 feet [5 m],"What is the standard length of a regulation competitive gymnastics balance beam, in feet?","While the beam is 16 feet long and stands 4 feet off the floor, its surface width is a mere 4 inches wide."
11 million tons,How many millions of tons of trash flow into the world's oceans every single year?,"Without major global intervention, scientists estimate this plastic trash volume could triple by the year 2040."
1908,"In what year was the international distress signal ""SOS"" officially adopted to replace CQD?","Contrary to popular belief, it doesn't stand for ""Save Our Souls""—it was chosen simply because the Morse code pattern (three dots, three dashes, three dots) is unmistakable."
50 times,How many times its own body weight can a leafcutter ant carry in its jaws?,"If a human possessed this strength, they could easily lift a full-sized pickup truck over their head with their teeth."
290 feet [88 m],"What is the record for the longest distance a toy paper airplane has been thrown, in feet?","Set in 2023 by a team in South Korea, the plane was constructed out of standard paper and folded with a hyper-aerodynamic dart shape."
"2,200",How many individual suction cups are lined up across the arms of a mature giant Pacific octopus?,"Every single suction cup is packed with delicate chemical receptors, allowing the octopus to literally taste objects simply by touching them."
1983,In what year did the classic block-stacking game Jenga launch at the London Toy Fair?,"The game was invented by Leslie Scott, who based it on wood blocks her family purchased from a sawmill in Ghana."
101 keys,"How many distinct keys make up a standard, modern standard typewriter layout or keyboard?","Enhanced keyboards add function keys and number pads, shifting the total count up to 104 or 105 keys."
30 mph [48 km/h],"What is the top running speed of a common domestic house cat, in miles per hour?",Even a lazy house cat can easily out-sprint Olympic champion Usain Bolt over a short 50-yard dash.
32 thousand gallons,How many thousands of gallons of water can a mature baobab tree store inside its trunk to survive droughts?,"Their swollen trunks are composed of soft, spongy wood layers designed to expand like an accordion during rainy seasons."
1945,"In what year was the iconic American toy, the Slinky, first demonstrated to shoppers at a department store?","Invented by naval engineer Richard James, a crowd of shoppers bought all 400 available Slinkys within 90 minutes of the live demonstration."
132 rooms,"How many total rooms are built inside the White House executive mansion in Washington, D.C.?","The massive complex features 6 distinct levels, including 35 bathrooms, 412 doors, and 28 fireplaces."
20 mph [32 km/h],"What is the maximum recorded speed of a falling raindrop at sea level, in miles per hour?","Large raindrops flatten out into a hamburger-bun shape due to air resistance as they fall, limiting their speed, while tiny mist droplets drift down at less than 1 mph."
90,"How many distinct structural components make up a standard, high-end mechanical piano action for a single key?","Multiplied across all 88 keys, a grand piano action contains thousands of delicate pins, felts, springs, and wooden levers working in tandem."
1986,In what year did the classic electronic puzzle game *Tetris* get smuggled out of the Soviet Union to the West?,"Invented by computer programmer Alexey Pajitnov at the Soviet Academy of Sciences, the rights were owned by the Soviet government for a decade before he earned royalties."
365 days,How many days can a common desert scorpion survive without eating a single bite of food?,"Scorpions have a highly efficient metabolic rate, allowing them to slow their oxygen use down to near-zero when food is scarce."
58 inches [147.3 cm],"What is the total length of a standard regulation pool cue stick, in inches?","Premium cues are split into two pieces with a metal joint, allowing players to safely transport them inside protective hard cases."
"1,056 thousand tiles",How many thousands of individual tiles are glued onto the exterior of the Sydney Opera House roof sails?,"Manufactured in Sweden, the tiles are self-cleaning and feature a subtle glossy glaze that reflects sunlight beautifully without blinding onlookers."
1950,"In what year did the first commercial modern credit card, the Diners Club card, debut?",It was invented by Frank McNamara after he forgot his wallet at a business dinner and had to wait for his wife to drive out and pay the bill.
26 bones,How many total bones make up the fragile structure of a standard human foot and ankle?,"Together, your two feet contain roughly 25% of all the bones found in your entire body."
"1,090 feet [332 m]","What is the maximum recorded depth, in feet, that a human has scuba dived down to?","Set by Ahmed Gabr in 2014, the descent took just 12 minutes, but returning safely to the surface required 14 hours of decompression stops to prevent the bends."
3.7 billion miles,How many standard miles are traveled by a single ray of sunlight to reach the planet Pluto?,"Because Pluto is so immensely far away, solar light takes roughly five and a half hours to cross the solar system to reach its icy surface."
1994,In what year did Amazon officially launch as an online bookstore operating out of Jeff Bezos' garage?,"Bezos originally wanted to name the company ""Cadabra"" (as in abracadabra), but his lawyer misheard it over the phone as ""Cadaver,"" prompting the change to Amazon."
3,"How many vertical stripes are featured in the official, classic Adidas corporate logo?","Adidas bought the iconic three-stripes trademark design from a Finnish sports brand in 1952 for the equivalent of 1,600 euros and two bottles of whiskey."
66mm,"What is the exact width of a standard modern vending machine slot for dollar bills, in millimeters?",Bill validators pass the currency over optical sensors to measure this exact width while scanning the paper's magnetic ink pattern to spot counterfeits.
5 cents,How many cents did the first bottle of Coca-Cola cost when it was sold from a soda fountain in 1886?,"The price remained a fixed nickel for over 70 years, largely due to long-term bottling contracts and the design of early vending machines."
1995,"In what year did eBay launch its online auction website, originally under the name ""AuctionWeb""?",The very first item sold on the site was a broken laser pointer for $14.83. The founder emailed the buyer to make sure they knew it was broken; the buyer replied that they collected broken laser pointers.
50,"How many distinct flavors of jelly beans are featured in Jelly Belly's standard ""official"" lineup?",It takes roughly 7 to 21 days to create a single Jelly Belly bean from start to finish due to the complex process of layering the shell and infusing flavors.
15%,"What percentage of the global toy market is controlled by the LEGO Group, making it the world's largest toy company?",The company manufactures an incredible 60 billion individual plastic LEGO bricks every single year with microscopic precision.
6.0 thousand dollars,How many thousands of dollars did a collector pay for the first ever commercial comic book featuring Superman (Action Comics No. 1)?,"Only about 100 copies of the 1938 comic book are estimated to exist today, with most in incredibly poor, weathered condition."
1971,"In what year did Nike officially change its corporate name from its original title, ""Blue Ribbon Sports""?","The famous ""Swoosh"" logo was designed by a graphic design student named Carolyn Davidson, who was paid just $35 for her work at the time."
1.7 billion,How many individual item listings are active on eBay worldwide at any given moment?,"Over 80% of all goods sold on the modern eBay platform are actually brand-new items sold at fixed ""Buy It Now"" prices rather than auctions."
6.14 inches [15.6 cm],"What is the length of a standard crisp U.S. dollar bill, measured in inches?","All denominations of U.S. paper currency share this exact dimension, and the paper is composed of 75% cotton and 25% linen."
8,How many distinct varieties of hot sauces are produced under the McIlhenny Company's Tabasco brand?,The original red sauce is aged in white oak barrels for up to three full years before being mixed with vinegar and bottled.
1979,"In what year did the first commercial cellular network launch in Japan, kickstarting mobile phone culture?","Launched by NTT in Tokyo, the system was originally limited entirely to car phones because portable handheld units required too much battery bulk."
2 billion,How many individual lines of code make up the entire digital architecture of Google's global services?,"All of Google's primary services (Search, Maps, Gmail, etc.) sit in a single massive code repository shared by tens of thousands of engineers."
25%,What percentage of a standard American dollar bill's composition is made out of linen rather than cotton?,This specific textile blend prevents the bills from falling apart if they accidentally end up spinning inside a washing machine.
"38,000",How many total corporate stores does the coffee giant Starbucks operate globally?,"Over half of these stores are located outside of the United States, with China representing the fastest-growing market."
1971,In what year was the international shipping giant FedEx founded by Fred Smith?,"Smith wrote the business model for an overnight delivery service as a term paper at Yale University; his professor gave him a mediocre grade of ""C."""
1,How many individual dimples are stamped onto the metal pop-top tab of a standard soda can?,The tiny indent acts as a structural reinforcement rivet that pins the aluminum lever securely to the can't score line.
65°F [18.3°C],"What is the ideal storage temperature, in degrees Fahrenheit, for commercial chocolate inventory inside a warehouse?","If the climate climbs past 70°F, cocoa butter melts and migrates to the surface, recrystallizing into an unappealing white haze called ""fat bloom."""
25 million,How many millions of physical packages does United Parcel Service (UPS) deliver around the world every day?,"To save fuel and time, UPS routing software instructs delivery trucks to completely avoid turning against oncoming traffic (left turns in the US) whenever possible."
1971,"In what year did the first fully automated electronic stock market, the NASDAQ, begin operations?","It started purely as a computerized quotation system, allowing brokers to instantly see prices without making phone calls."
12,"How many individual zeros follow the number one in a standard ""Trillion"" dollar figure?","In the traditional British numbering system, a trillion historically meant a million million million, which carried 18 zeros."
91%,What percentage of global internet search engine traffic is handled directly by Google?,"Bing sits in a distant second place, handling roughly 3% to 4% of global searches."
60 kilograms,"How many pounds of coffee beans are stuffed inside a standard, globally traded wholesale burlap shipping sack?",This classic 60kg bag has served as the universal unit of measurement for global coffee trade statistics for over a century.
1974,In what year did the modern barcodes (UPC symbols) get scanned for the very first time at a supermarket checkout line?,"The historic scan occurred in Troy, Ohio, and the item purchased was a 10-pack of Marshalls Juicy Fruit chewing gum."
280,How many individual corporate acquisitions has tech giant Microsoft made throughout its history?,"Their most expensive purchase to date was the massive $68.7 billion acquisition of video game publisher Activision Blizzard, finalized in 2023."
0.76 millimeters,"What is the standard thickness of a premium plastic credit card, measured in fractions of an inch?",This precise physical dimension is globally standardized by the ISO so cards work seamlessly in any ATM across the planet.
872 thousand dollars,How many thousands of dollars did an anonymous bidder pay for the world’s most expensive domain name (`Cars.com`)?,"The valuation was made when the parent media company bought out its partners, marking it as the highest-priced digital domain asset in history."
1958,In what year did the iconic financial card company American Express launch its very first paper credit card?,"The company originally began operations in 1850 as an express mail delivery business, helping transport gold and valuables across New York."
8 oz [237 mL],How many standard fluid ounces are locked inside a classic glass bottle of Coca-Cola?,"The iconic ""contour bottle"" was designed in 1915 to be easily recognized by touch in the dark, or even if found shattered on the ground."
20%,What is the approximate percentage of global retail sales that occur entirely online via E-commerce?,"Despite the massive scale of online giants like Amazon, roughly 80% of all global retail spending still happens inside brick-and-mortar stores."
5 days,How many days does the U.S. Bureau of Engraving and Printing operate its presses each week to churn out new cash?,"Over 90% of the new paper currency printed each day is produced solely to replace old, worn-out bills pulled from circulation."
2018,In what year did Apple become the first public U.S. company to cross a historic $1 trillion market cap valuation?,"It took Apple 42 years to hit $1 trillion, but it took just two more years to double that value and cross the $2 trillion mark in 2020."
"87,000",How many individual product configurations can you order at a standard Starbucks café if you mix all available options?,"This mind-boggling number accounts for all combinations of drink bases, sizes, milk choices, syrups, toppings, and temperature modifications."
-10°F [-23.3°C],"What is the standard temperature, in degrees Fahrenheit, maintained inside a professional deep-freeze warehouse for ice cream inventory?","Keeping the inventory well below zero prevents the forming of large ice crystals, which would otherwise ruin the creamy texture."
3,How many distinct diamond shapes make up the iconic corporate logo of the Mitsubishi Group?,"The name Mitsubishi is a portmanteau of ""mitsu"" (meaning three) and ""hishi"" (meaning water chestnut, which describes a diamond shape)."
1969,"In what year did the popular fast-food chain Wendy's open its very first location in Columbus, Ohio?","Founder Dave Thomas chose square burger patties so the edges would stick out past the round buns, proving the meat was fresh and oversized."
300 mg,How many milligrams of sodium are packed inside a single standard packet of commercial soy sauce?,This single tiny packet accounts for roughly 13% of the total recommended daily sodium intake for a healthy adult.
40% ABV,"What is the minimum percentage of alcohol by volume (ABV) required for a spirit to legally call itself ""Vodka"" in the United States?","This translates to exactly 80 proof. In the European Union, the legal minimum ABV threshold is slightly lower at 37.5%."
3 billion,How many total active credit cards are currently floating in circulation across the globe?,"If you lined all of those cards up edge-to-edge, they would wrap around the Earth's equator over six full times."
1916,"In what year did the Titanic's sister ship, the Britannic, strike a mine and sink during World War I?",The Britannic sank in just 55 minutes—nearly three times faster than the Titanic—because several watertight doors had been left open.
12,How many main tires are fitted onto the landing gear of a massive Boeing 777 passenger jet?,"The main gear uses two unique six-wheel trucks, which helps distribute the heavy weight of the plane evenly across airport runways."
570 mph [917 km/h],"What is the maximum cruising speed of a standard commercial Boeing 747 aircraft, in miles per hour?","This speed translates to roughly Mach 0.85, making the iconic ""Queen of the Skies"" one of the fastest commercial jets in service."
"1,198 feet [365 m]","How many feet long is the famous luxury cruise ship, the Icon of the Seas?","Spanning nearly 1,200 feet, it is the largest cruise ship in the world, featuring 20 distinct decks and a massive onboard water park."
1964,In what year did the first commercial high-speed bullet train (Shinkansen) launch operations in Japan?,"Launched just ahead of the Tokyo Olympics, the train connected Tokyo and Osaka, slicing travel time from nearly seven hours down to four."
3,How many individual crew members were on board the Apollo 11 spacecraft during its journey to the moon?,"They were Neil Armstrong, Buzz Aldrin, and Michael Collins. Collins stayed behind in lunar orbit to operate the command module alone while the others walked on the moon."
"10,000 feet [3,048 m]","What is the total length of a standard runway at a major international airport, in feet?","Heavy cargo jets taking off in hot weather or high altitudes require even longer strips, sometimes stretching past 14,000 feet."
4,How many distinct propellers drive the flight stability of a standard commercial quadcopter drone?,The motors operate in opposing pairs—two spinning clockwise and two counter-clockwise—to cancel out torque and let the drone hover perfectly.
1964,"In what year did the legendary muscle car, the Ford Mustang, make its official public debut?","Ford expected to sell roughly 100,000 units in the first year; instead, dealerships swamped the company with 22,000 orders on the very first day."
"31,000 lbs [14,061 kg]",How many pounds did the massive anchor of the Titanic weigh?,It required a dedicated team of 20 heavy draft horses to haul the central anchor through the streets to the shipyard.
"4,520 mph [7,274 km/h]","What is the top speed achieved by the fastest experimental manned aircraft in history (the X-15), in miles per hour?","Set by pilot Pete Knight in 1967, the rocket-powered plane reached an incredible Mach 6.7, requiring a special heat-shield coating so the metal wouldn't melt."
18,How many cars are connected to form a standard high-speed Eurostar train set running beneath the English Channel?,The extreme length of the train (nearly a quarter-mile long) is engineered so it can be quickly evacuated inside the channel tunnel cross-passages during an emergency.
1937,In what year did the historic aviation disaster occur where the zeppelin Hindenburg burst into flames in New Jersey?,The massive airship was filled with 7 million cubic feet of highly flammable hydrogen gas because the U.S. refused to export non-flammable helium to Germany.
"24,000",How many cargo containers can the world's largest container ships carry today?,"If you loaded all 24,000 standard steel containers onto a single train, that train would stretch over 90 miles long."
235 feet [72 m],"What is the wingspan of a modern Boeing 777X passenger aircraft, measured in feet?","Because the wingspan is too wide for standard airport gates, the plane is built with unique folding wingtips that snap upward after landing."
81 thousand tons,How many thousands of tons did the historic ocean liner Queen Mary weigh?,"During World War II, the ship was painted grey and used as a troop transport, setting an all-time record by carrying 16,683 soldiers on a single voyage."
1958,In what year did the famous nuclear-powered submarine USS Nautilus make the first ever underwater transit of the North Pole?,The navigation crew had to rely on advanced inertial guidance systems because standard magnetic compasses become completely useless near the pole.
37 miles [60 km],"How many miles long is the longest individual subway tunnel corridor in the world (located in Guangzhou, China)?","The entire Guangzhou Metro Line 3 runs completely underground through this single continuous tube, cutting through the heart of the city."
"200 PSI [1,379 kPa]","What is the standard tire pressure, in pounds per square inch (PSI), used inside the main landing gear wheels of a commercial jetliner?","This extreme pressure is roughly six times higher than a standard car tire. To prevent dangerous blowouts from friction heat, the tires are filled with pure nitrogen gas."
40 million,How many millions of cars pass across the famous Golden Gate Bridge in San Francisco every single year?,"The bridge’s unique orange color (International Orange) was originally just an anti-rust primer coat, but architects kept it because it was highly visible in thick fog."
1952,"In what year was the first commercial jet airliner, the De Havilland Comet, introduced to public service?",Early models suffered tragic crashes due to metal fatigue caused by square passenger windows; this discovery forced all future airplanes to use rounded windows.
16 cylinders,"How many cylinders power the engine block of the ultimate luxury supercar, the Bugatti Chiron?","The quad-turbocharged W16 engine produces an astronomical 1,500 horsepower, allowing the car to flash from 0 to 60 mph in 2.3 seconds."
"84,000 gallons [317,974 liters]","What is the maximum fuel capacity of a massive Airbus A380 superjumbo passenger jet, in gallons?","The fuel weight alone accounts for over 560,000 pounds, which is stored across massive tanks running the entire length of the wings."
7,How many distinct blades make up the massive main rotor assembly of an international Sikorsky CH-53K heavy-lift helicopter?,The blades are constructed out of advanced military composites and can swing with enough lift power to pick up a full-sized armored vehicle.
1964,"In what year did the iconic British sports car brand, Aston Martin, debut the classic DB5 car in the James Bond movie *Goldfinger*?","The actual movie car was fitted with real steel spinner hubs, smoke screens, and a functional sunroof that let an ejection seat dummy fly out."
"1,092 feet [333 m]","What is the total length of a standard modern aircraft carrier (such as the USS Gerald R. Ford), in feet?","The massive flight deck functions as a floating military city, supporting a crew of over 4,500 personnel and up to 75 combat jets."
10.8 thousand miles,How many thousands of miles can a modern Boeing 777-200LR fly non-stop on a full tank of fuel?,This incredible range allows the plane to comfortably connect virtually any two cities on Earth with a single continuous flight.
1981,In what year did the United States officially launch the very first Space Shuttle mission (Columbia)?,It marked the first time in aviation history that a rocket system used reusable solid fuel boosters and an orbital glider that landed back on a standard runway.
10,How many separate gears are engineered inside the advanced automatic transmission of a modern Ford F-150 truck?,"The transmission uses computer chips to continuously optimize gear ratios, skipping gears entirely during acceleration to maximize fuel efficiency."
4 feet [1 m],"What is the width of a standard international railway track gauge, measured between the rails in feet?","This standard gauge accounts for over 60% of all railways worldwide, originating from the old coal tramway tracks built in England."
20,How many individual lifeboats were carried by the Titanic on its tragic maiden voyage?,"While 20 lifeboats was legally more than the outdated regulations required at the time, it was only enough to save about half of the people on board."
1969,In what year did the luxury ocean liner Queen Elizabeth 2 (QE2) embark on her historic maiden voyage across the Atlantic?,The legendary ship served as a flagship for the Cunard Line for nearly 40 years before being permanently converted into a floating hotel in Dubai.
100 thousand horsepower,How many thousands of horsepower are generated by the massive diesel engines driving a modern container ship?,The pistons inside these multi-story engines are so large that engineers can actually walk inside the cylinders to perform maintenance.
853,What is the maximum passenger seating capacity of the world's largest commercial airliner (Airbus A380) in an all-economy setup?,"While most airlines configure the twin-deck plane with around 500 seats to make room for first-class suites, the legal safety exit limit allows for 853."
2 minutes,How many minutes long did the world's shortest scheduled commercial international flight last?,"Operated by Loganair between the Scottish islands of Westray and Papa Westray, the flight covers just 1.7 miles and can take as little as 47 seconds with a tailwind."
1869,"In what year did the historic transcontinental railroad link up with the golden spike at Promontory Summit, Utah?",The breakthrough slashed coast-to-coast travel time across the United States from an arduous six months down to just six days.
32,How many wheels touch the tarmac on a massive Antonov An-225 Mriya cargo aircraft landing gear?,The plane required this extreme wheel count to distribute its maximum takeoff weight of 1.4 million pounds without crushing runways.
"1,600 feet [488 m]","What is the maximum depth, in feet, that a standard modern military nuclear submarine can safely dive down to?","While exact capabilities are highly classified secrets, naval experts estimate the absolute hull crushing threshold sits around 2,400 feet."
104 million,How many millions of passengers pass through the world's busiest airport (Atlanta Hartsfield-Jackson) every year?,The airport owes its extreme traffic to its geographic location; it sits within a two-hour flight of 80% of the United States population.
1889,In what year did the construction of the iconic Eiffel Tower in Paris officially finish?,"Built as the entrance arch for the World’s Fair, it was originally meant to be torn down for scrap metal after 20 years, but was saved because it worked perfectly as a radio antenna."
"1,860",How many distinct steps must a visitor climb to reach the very top of the Empire State Building's 102nd floor?,"The building hosts an annual ""Run-Up"" race where elite athletes sprint up the first 1,576 steps to the 86th-floor observatory deck in under 10 minutes."
12 feet [4 m],"What is the thickness of the heavy concrete foundation pad supporting the Burj Khalifa skyscraper, in feet?","The massive solid concrete block is packed with over 110,000 tons of heavy steel reinforcement bars to distribute the skyscraper's weight safely over the sand."
52,How many stone arches form the classic structure of the historic Pont du Gard Roman aqueduct in France?,"Built in the 1st century AD, the precision of the aqueduct is so incredible that it slopes down by just 1 inch across its entire 30-mile length."
1973,"In what year did the construction of the famous Sydney Opera House finish, opening to the public?","The complex architecture of the soaring roof ""shells"" baffled engineers for years until they realized they could all be cut from the surface of a single perfect sphere."
16,How many granite columns support the grand portico entrance of the historic Pantheon temple in Rome?,"Every single column was carved from a single solid block of grey granite in Egypt, transported down the Nile River on barges, and hauled across the sea."
"4,200 feet [1,280 m]","What is the span length of the main suspension deck of the Golden Gate Bridge, in feet?","When it was completed in 1937, it was the longest suspension bridge span in the world, a record it held for over 25 years."
24 thousand windows,How many thousands of windows are built into the massive exterior facade of the Burj Khalifa tower?,It takes a dedicated team of professional window washers roughly three to four full months of continuous cleaning to wash the entire exterior once.
1930,"In what year did the historic Chrysler Building in New York open, briefly holding the title of tallest building?","The architect secretly constructed a 125-foot steel spire inside the building's core, hoisting it through the roof at the last minute to surprise rivals and clinch the height record."
"2,300 rooms",How many rooms are built inside the sprawling historic Palace of Versailles in France?,"The palace’s famous Hall of Mirrors contains 357 individual glass mirrors, which were placed to reflect the gardens outside and showcase absolute royal wealth."
142 feet [43 m],"What is the diameter of the massive concrete dome of the Pantheon in Rome, in feet?","Nearly 2,000 years after it was constructed, it remains the largest unreinforced solid concrete dome in the world."
7.3 thousand tons,How many thousands of tons of structural steel make up the framework of the Eiffel Tower?,"The tower is so sensitive to temperature that the iron framework expands in summer heat, causing the peak to shift up to 6 inches taller."
1894,In what year did the construction of the famous Tower Bridge in London officially finish?,"The heavy drawbridge bascules are driven by massive hydraulic machinery, which originally used steam engines to pump water into accumulator storage tanks."
135,How many distinct spires rise from the ornate roofline of the famous Duomo di Milano (Milan Cathedral)?,"The massive Gothic cathedral took nearly six centuries to fully finish, featuring more individual statues (over 3,400) than any other building on Earth."
605 feet [184 m],"What is the height of the iconic Space Needle in Seattle, Washington, measured in feet?","Built for the 1962 World’s Fair, the tower's foundation is buried 30 feet deep in concrete, shifting its center of gravity low enough to withstand 200 mph winds."
"9,999 rooms according to legend","How many thousands of rooms are built inside the Forbidden City palace complex in Beijing, China?","Ancient Chinese mythology stated that only heaven could possess a palace with 10,000 rooms, so the emperors built just short of that number out of respect."
1965,"In what year was the historic Gateway Arch in St. Louis, Missouri, officially completed?","The arch is exactly as tall as it is wide (630 feet), and it was constructed by stacking triangular stainless steel segments on both sides until they met in the middle."
46,How many separate marble columns line the exterior of the historic Parthenon temple in Athens?,"The columns are engineered with a subtle outward swelling (entasis) and tilt slightly inward to correct optical illusions, making them appear perfectly straight to human eyes."
102 miles [164 km],"What is the total length of the world’s longest bridge structure (The Danyang-Kunshan Grand canal bridge in China), in miles?","The massive high-speed railway viaduct runs across the Yangtze River delta, elevated safely over swamps, lakes, and rice paddies."
4 million bricks,How many millions of bricks were laid to construct the historic red-brick cathedral of Santa Maria del Fiore in Florence?,"Master builder Filippo Brunelleschi engineered the massive dome without using any wooden scaffolding support, laying the bricks in a unique herringbone pattern so they wouldn't collapse inward during construction."
365 steps,How many steps climb the side of the famous Mayan pyramid El Castillo at Chichen Itza?,"Each of the four staircases has 91 steps, which when added to the top platform step totals exactly 365—matching the number of days in a calendar year."
555 feet [169 m],"What is the height of the historic Washington Monument obelisk in Washington, D.C., in feet?","When it was finished in 1884, it was the tallest structure on Earth, until it was eclipsed by the construction of the Eiffel Tower five years later."
"5,434",How many distinct cable strands are bundled together to form each main suspension cable of the Brooklyn Bridge?,"It was the first suspension bridge to use galvanized steel wire, which was spun back and forth across the river gap using unique traveling wheels."
1931,In what year did the iconic Empire State Building officially open its doors to the public?,"Constructed during the Great Depression, the entire steel and stone framework was put together in just 410 days, climbing at a record pace of over four floors per week."
20 thousand tons,How many thousands of tons of white marble were quarried to construct the magnificent Taj Mahal in India?,"The marble was hauled across the country over a massive 200-mile track by a dedicated fleet of over 1,000 industrial elephants."
"6,532 feet [1,991 m]","What is the length of the main span of the famous Akashi Kaikyo Bridge in Japan, the longest suspension bridge path, in feet?","The bridge’s length was originally shorter, but a massive 7.2 magnitude earthquake in 1995 shifted the towers apart by an extra 3 feet mid-construction."
775 rooms,How many separate rooms are built inside the historic Buckingham Palace in London?,"The palace layout features 78 bathrooms, 92 offices, and 188 dedicated staff bedrooms to support the royal household operations."
1990,"In what year did the famous leaning campanile, the Leaning Tower of Pisa, officially close for a massive stabilization repair project?","Engineers spent over a decade removing earth from the high side of the foundation, safely straightening the tower's tilt by 15 inches."
"2,300,000",How many individual stone blocks make up the structure of the Great Pyramid of Giza?,"Each individual stone block weighs an average of 2.5 tons, packed together so tightly that you cannot slide a thin piece of paper between them."
148 feet [45 m],"What is the width of the famous Arc de Triomphe monument in Paris, measured in feet?","Commissioned by Napoleon after his victory at Austerlitz, the vault is so massive that a daredevil pilot flew a biplane straight through the archway in 1919."
"11,324",How many individual structural steel beams form the geodesic dome of Spaceship Earth at Disney's Epcot?,"The massive sphere is actually a double-layer structure, with an inner sphere handling the ride path and an outer shell handling weather protection."
1600 BC,In what year did the construction of the ancient stone monument Stonehenge finish its final configuration?,"The massive sandstone blocks were hauled over 15 miles across the countryside, while the smaller blue stones were traced back to quarries over 140 miles away in Wales."
7,How many separate structural arches form the foundation length of the famous Westminster Bridge in London?,"Painted green to match the leather seats in the House of Commons, it is the oldest surviving bridge across the Thames River in central London."
84 feet [26 m],"What is the height of the soaring stone obelisk at the center of St. Peter's Square in Vatican City, in feet?",The solid red granite obelisk contains no inscriptions and was originally brought to Rome from Egypt by Emperor Caligula to decorate his circus racetrack.
284,How many separate columns form the perimeter colonnade around St. Peter’s Square?,"Designed by Gian Lorenzo Bernini, the four rows of massive columns are arranged in a unique radial grid that creates an optical alignment from the center of the square."
1869,In what year did the construction of the famous Neuschwanstein Castle in Bavaria begin?,"Built by King Ludwig II as a private retreat, the fairy-tale castle's design served as the direct visual inspiration for Walt Disney's Sleeping Beauty Castle."
673,How many individual glass panes make up the geometric pyramid entrance at the Louvre Museum in Paris?,"Designed by architect I.M. Pei, the glass diamond configuration caused a massive public controversy before becoming a beloved landmark."
"5,989 feet [1,825 m]","What is the total length of the famous Brooklyn Bridge, measured from end to end in feet?","To prove to anxious New Yorkers that the new suspension bridge was completely safe, showman P.T. Barnum marched a parade of 21 circus elephants across the span in 1884."
200 years,How many years did it take to finish building the massive stone wall fortifications around the city of Carcassonne in France?,"The historic fortress features a double layer of massive stone walls dotted by 52 towers, making it one of the largest medieval castles in Europe."
1503,"In what year did Leonardo da Vinci finish painting his legendary portrait, the *Mona Lisa*?","The painting is surprisingly small, measuring just 30 inches by 21 inches, and it is painted on a solid plank of poplar wood rather than canvas."
14,How many distinct lines are structured into a traditional literary Sonnet poem?,"Shakespeare wrote over 154 sonnets throughout his career, almost all following a strict rhyme scheme written in iambic pentameter."
2 words,What is the total number of words used in the English language's shortest complete sentence?,"To form a complete sentence, a phrase requires a subject and a verb. ""Go!"" is unique because the subject (""You"") is implied."
47,How many strings are stretched across the sounding board of a standard modern concert harp?,"The strings are color-coded to help the player navigate the instrument: all C strings are red, and all F strings are black or dark blue."
1623,In what year was the first complete edition of William Shakespeare’s plays (The First Folio) published?,"Published seven years after his death, the book saved 18 of his classic plays from being lost forever, including *Macbeth* and *The Tempest*."
